benchmark,runs,total,avg,std,min,max,p75,p99,p995
8,156,9943966743,63743376,568192,63345292,69547458,63763750,65571667,69547458
9,79,10192981876,129025087,4271812,124954667,141222792,132625750,141222792,141222792
10,38,9574475544,251959882,7150195,248263833,278698875,249680000,278698875,278698875
11,20,9919670876,495983543,520345,495073416,497099834,496422125,497099834,497099834
12,10,9912064833,991206483,2276472,989232375,995211459,992939083,995211459,995211459
13,5,9901354958,1980270991,5168868,1975613000,1988584708,1981815834,1988584708,1988584708
