benchmark,runs,total,avg,std,min,max,p75,p99,p995
8,79807,10013360334,125469,3525,124166,185458,124666,143042,148750
9,40972,10001397753,244103,4434,242083,334125,242917,264500,270000
10,20742,9963841247,480370,6276,476750,548375,480750,506667,516416
11,10500,10014525885,953764,14331,946500,1181750,951708,1003708,1050417
12,5265,9990612469,1897552,12804,1885083,1979625,1903708,1946667,1955583
13,2641,9998926741,3786038,22449,3762708,4137041,3793292,3872958,3885959
